X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.48163697,43.45673123,872417,2000984,LANCASTER ST E,2023/11/25 08:41:34+00,541936.963,4811665.594,VERTICAL UNIT,ACTIVE,11160,40,6,,,50000605,10,25,301202000620000,7cfca724-7eac-4e71-bcb5-41f7613e6c1d
-80.4834177,43.45513117,872422,1020872,ELLEN ST E,2023/11/25 08:42:18+00,541794,4811487,VERTICAL UNIT,ACTIVE,11149,20,411,,,50000482,10,20,301202000612548,a195856b-3015-4f58-95b3-1471226c35f6
-80.49445168,43.46003159,872431,2039065,AHRENS ST W,2023/11/25 08:40:31+00,540898,4812025.751,VERTICAL UNIT,ACTIVE,11211,180,UPPER,,,50002885,10,15,301201000708600,585da5d6-0a3a-4150-8efe-a7f4cda79e2c
-80.49164995,43.45094558,872444,4020253,KING ST W,2023/11/30 17:05:45+00,541130.8115,4811018.063,VERTICAL UNIT,ACTIVE,6698,144,304,,,50000119,10,20,301202000102400,4ee10e30-e7ca-46f5-92e1-57f3e915d851
-80.49306341,43.45792796,872461,4017322,AHRENS ST W,2023/11/25 08:41:13+00,541011.73,4811792.81,VERTICAL UNIT,ACTIVE,7060,132,1,,,50003195,10,15,301201000706900,b1d36e43-f3cc-4a08-a250-375ae490d63e
-80.47968706,43.44890773,872471,4018812,WEBER ST E,2023/11/25 08:40:21+00,542100.1413,4810797.72,VERTICAL UNIT,ACTIVE,6863,140,205,,,50024374,10,25,301203000421400,c0ac247b-333e-4d41-910e-29a07dd03ccf
-80.46956004,43.44184342,872489,2037388,BRICK ST,2023/11/25 08:40:33+00,542924.54,4810018.344,VERTICAL UNIT,ACTIVE,11697,29,13,,,50025545,10,35,301203001015100,b5088e59-8b91-4124-902d-f27a213f6c23
-80.49407128,43.45190516,872502,40252828,KING ST W,2023/11/25 08:42:36+00,540934.2548,4811123.438,VERTICAL UNIT,ACTIVE,8919,276,204,,,50000088,10,20,301202000103732,2f1749f7-caa6-4c0b-b599-4848627e510c
-80.50844436,43.45692938,872522,2039424,KING ST W,2023/11/25 08:40:31+00,539768.056,4811674.452,VERTICAL UNIT,ACTIVE,11061,812,1003,,,50002023,10,10,301201000103458,53fb21e2-5a36-4ff5-997c-fa51245bf305
-80.49144393,43.45903001,872539,40248550,LOUISA ST,2023/11/25 08:42:29+00,541142,4811916,VERTICAL UNIT,ACTIVE,6677,283,1,,,50003180,10,15,301201000217000,a9132a25-2b52-48d6-9324-fd5e88d9b996
-80.493128,43.4535582,872550,2048197,WATER ST N,2023/11/25 08:40:34+00,541009.4575,4811307.484,VERTICAL UNIT,ACTIVE,7056,53,405,,,50000109,10,20,301202000313000,d83e00fc-3b96-4b08-822f-a4b9da7f35c3
-80.48780242,43.45525905,872567,1059924,MARGARET AVE,2023/11/25 08:41:44+00,541439.17,4811499.011,VERTICAL UNIT,ACTIVE,6781,43,201,,,50000316,10,20,301202000601005,81bf006f-c884-4d3f-a308-2202b7d1690a
-80.48653692,43.45388824,872606,2053721,QUEEN ST N,2023/11/25 08:41:16+00,541542.492,4811347.403,VERTICAL UNIT,ACTIVE,6737,100,310,,,50000345,10,20,301202000219900,86656a35-bcd7-4a73-a212-b6eeae0049d8
-80.47652606,43.45671128,872618,2023260,FREDERICK ST,2023/11/25 08:40:23+00,542350.461,4811665.964,VERTICAL UNIT,ACTIVE,9786,324,3,,,50000842,10,25,301202000205800,29cd7b23-572e-473c-bb32-2cf81f550d45
-80.48322077,43.47260779,872619,4003064,MAPLE AVE,2023/11/25 08:42:07+00,541797.89,4813428.01,VERTICAL UNIT,ACTIVE,6991,465,3,,,50001546,10,5,301201001109600,52fb9cb7-9107-4514-af23-575c50375790
